All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
436       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 06:00:38 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
437       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 06:00:38 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
438       	I   	Operational         	10052   	Regain start                            	2017-03-22 06:00:41 	A regain movement has started.	{args: "0"}
439       	I   	Operational         	10053   	Regain ready                            	2017-03-22 06:00:41 	The regain movement is ready.	{args: "0"}
440       	I   	Operational         	10151   	Program started                         	2017-03-22 06:00:41 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
441       	I   	Operational         	10151   	Program started                         	2017-03-22 06:00:41 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
442       	I   	Operational         	10151   	Program started                         	2017-03-22 06:00:41 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
443       	W   	Program             	41617   	Too intense frequency of Write Instructions	2017-03-22 06:01:21 	A high usage frequency of user interface write instructions, such as TPWrite, has forced the program execution to slow down.	{args: }
444       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:15 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
445       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:15 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
446       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:16 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
447       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:17 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
448       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:18 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
449       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:19 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
450       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:21 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
451       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:21 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
452       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:22 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
453       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:23 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
454       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:24 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
455       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:26 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
456       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:26 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
457       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:27 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
458       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:29 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
459       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:30 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
460       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:32 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
461       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:33 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
462       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:34 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
463       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:34 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
464       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:35 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
465       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:36 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
466       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:38 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
467       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:39 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
468       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:39 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
469       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:40 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
470       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:41 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
471       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:43 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
472       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:44 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
473       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:45 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
474       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:45 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
475       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:47 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
476       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:48 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
477       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:49 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
478       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:50 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
479       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:51 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
480       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:52 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
481       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:55 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
482       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:57 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
483       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:57 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
484       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:02:58 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
485       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:00 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
486       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:00 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
487       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:02 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
488       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:02 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
489       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:05 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
490       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:06 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
491       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:06 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
492       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:08 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
493       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:09 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
494       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:10 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
495       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:11 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
496       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:12 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
497       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:14 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
498       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:15 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
499       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:16 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
500       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:17 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
501       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:18 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
502       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:20 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
503       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:03:21 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
504       	E   	Motion              	50050   	Position outside reach                  	2017-03-22 06:03:21 	Position for ROB_1 joint 3 is outside working area. Joint 1-6 : Number of the axis which causes the error.Joint 23: Combination of axis 2 and 3 causes the error.	{args: "3", "ROB_1"}
505       	I   	Operational         	10020   	Execution error state                   	2017-03-22 06:03:21 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
506       	I   	Operational         	10020   	Execution error state                   	2017-03-22 06:03:21 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
507       	I   	Operational         	10020   	Execution error state                   	2017-03-22 06:03:21 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
508       	I   	Operational         	10125   	Program stopped                         	2017-03-22 06:03:21 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred.	{args: "3", "RECEIVER"}
509       	I   	Operational         	10125   	Program stopped                         	2017-03-22 06:03:21 	The task SENDER has stopped. The reason is that an external or internal stop has occurred.	{args: "4", "SENDER"}
510       	I   	Operational         	10125   	Program stopped                         	2017-03-22 06:03:22 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
511       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 06:08:06 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
512       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 06:08:06 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
513       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 06:08:06 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
514       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 06:08:06 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
515       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 06:08:06 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
516       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 06:08:06 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
517       	I   	Operational         	10152   	Program started                         	2017-03-22 06:08:39 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "3", "RECEIVER"}
518       	I   	Operational         	10152   	Program started                         	2017-03-22 06:08:39 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
519       	I   	Operational         	10133   	Program stopped                         	2017-03-22 06:08:39 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "3", "RECEIVER"}
520       	I   	Operational         	10133   	Program stopped                         	2017-03-22 06:08:39 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
521       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 06:08:39 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
522       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 06:08:39 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
523       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 06:08:39 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
524       	I   	Operational         	10052   	Regain start                            	2017-03-22 06:08:43 	A regain movement has started.	{args: "0"}
525       	I   	Operational         	10053   	Regain ready                            	2017-03-22 06:08:43 	The regain movement is ready.	{args: "0"}
526       	I   	Operational         	10151   	Program started                         	2017-03-22 06:08:43 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
