All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
80        	I   	Operational         	10233   	Backup step ready                       	2017-03-22 02:27:07 	The backup of Controller Settings is ready.	{args: "3"}
81        	I   	Operational         	10230   	Backup step ready                       	2017-03-22 03:46:34 	The backup step Prepare is ready.	{args: "0"}
82        	I   	Operational         	10231   	Backup step ready                       	2017-03-22 03:46:34 	The backup step Configuration is ready.	{args: "1"}
83        	I   	Operational         	10232   	Backup step ready                       	2017-03-22 03:46:34 	The backup of Task is ready.	{args: "2"}
84        	I   	Operational         	10233   	Backup step ready                       	2017-03-22 03:46:34 	The backup of Controller Settings is ready.	{args: "3"}
85        	E   	System              	20072   	Not allowed command                     	2017-03-22 05:43:32 	The command is not allowed in Motors OFF state.	{args: "66"}
86        	I   	Operational         	10152   	Program started                         	2017-03-22 05:43:48 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "3", "RECEIVER"}
87        	I   	Operational         	10152   	Program started                         	2017-03-22 05:43:48 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
88        	I   	Operational         	10133   	Program stopped                         	2017-03-22 05:43:48 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "3", "RECEIVER"}
89        	I   	Operational         	10133   	Program stopped                         	2017-03-22 05:43:48 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
90        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:43:48 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
91        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:43:49 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
92        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:43:49 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
93        	E   	System              	20072   	Not allowed command                     	2017-03-22 05:44:27 	The command is not allowed in Motors OFF state.	{args: "66"}
94        	I   	Operational         	10011   	Motors ON state                         	2017-03-22 05:44:41 	The system is in the Motors ON state.	{args: }
95        	I   	Operational         	10152   	Program started                         	2017-03-22 05:44:49 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "3", "RECEIVER"}
96        	I   	Operational         	10152   	Program started                         	2017-03-22 05:44:49 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
97        	I   	Operational         	10133   	Program stopped                         	2017-03-22 05:44:49 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "3", "RECEIVER"}
98        	I   	Operational         	10133   	Program stopped                         	2017-03-22 05:44:49 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
